director_name,actor_1_name,actor_2_name,actor_3_name,genres,movie_title
Kay Cannon,Leslie Mann,Leslie Mann,Leslie Mann,Comedy,Blockers
Lynne Ramsay,Joaquin Phoenix,Joaquin Phoenix,Joaquin Phoenix,Thriller Drama,You Were Never Really Here
John Curran,Jason Clarke,Jason Clarke,Jason Clarke,Drama Thriller History,Chappaquiddick
"Drew Fellman, David Douglas",Kristen Bell,Kristen Bell,,Documentary,Pandas
Andrew Haigh,Charlie Plummer,Charlie Plummer,Charlie Plummer,Drama Adventure,Lean on Pete
Sean McNamara,Helen Hunt,Helen Hunt,Helen Hunt,Drama,The Miracle Season
Brad Anderson,Jon Hamm,Jon Hamm,Jon Hamm,Action Thriller Drama,Beirut
Brad Peyton,Dwayne Johnson,Dwayne Johnson,Dwayne Johnson,Action Adventure Science Fiction,Rampage
Jeff Wadlow,Lucy Hale,Lucy Hale,Lucy Hale,Thriller Horror,Truth or Dare
Chloé Zhao,Brady Jandreau,Brady Jandreau,,Drama Western,The Rider
Richard Lanni,Logan Lerman,Logan Lerman,Logan Lerman,Animation Adventure Family History War,Sgt. Stubby: An American Hero
"Abby Kohn, Marc Silverstein",Amy Schumer,Amy Schumer,Amy Schumer,Comedy Romance,I Feel Pretty
Jay Chandrasekhar,Jay Chandrasekhar,Jay Chandrasekhar,Jay Chandrasekhar,Comedy Crime Mystery,Super Troopers 2
Deon Taylor,Paula Patton,Paula Patton,Paula Patton,Thriller Horror,Traffik
Peter Livolsi,Asa Butterfield,Asa Butterfield,Asa Butterfield,Drama,The House of Tomorrow
Naoko Yamada,Atsumi Tanezaki,Atsumi Tanezaki,,Animation Drama Music,Liz and the Blue Bird
Anthony Russo and Joe Russo,Robert Downey Jr.,Robert Downey Jr.,Robert Downey Jr.,Adventure Action Science Fiction,Avengers: Infinity War
Sebastián Lelio,Rachel Weisz,Rachel Weisz,Rachel Weisz,Drama Romance,Disobedience
Per Fly,Ben Kingsley,Ben Kingsley,Ben Kingsley,Thriller Drama History,Backstabbing for Beginners
Deniz Gamze Ergüven,Halle Berry,Halle Berry,,Adventure Drama Action,Kings
